id,pack_name,res_type,res_id,res_number,custom_value,bonus,stage_bonus,first_time_purchase_bonus,purchase_type,purchase_count,iap_cost,cost_type,cost_id,cost_number,sale,google_product_id,google_product_id_premium,apple_product_id,duration_pack,duration_cooldown_show_ui,type
0,openning_pack_0,Money,2,370,,0,0,0,IAP,1,3,,,,10,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,86400,43200,OpenningPack
,,Money,3,100,,,,,,,,,,,,,,,,,
,,Item,6004,1,600401,,,,,,,,,,,,,,,,
,,Item,6002,1,600201,,,,,,,,,,,,,,,,
,,Item,1001,1,100104,,,,,,,,,,,,,,,,
,,Item,1002,1,100204,,,,,,,,,,,,,,,,
1,openning_pack_1,Money,2,370,,0,0,0,IAP,1,3,,,,10,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,86400,43200,OpenningPack
,,Money,3,100,,,,,,,,,,,,,,,,,
,,Item,6004,1,600401,,,,,,,,,,,,,,,,
,,Item,6002,1,600201,,,,,,,,,,,,,,,,
,,Item,1004,1,100404,,,,,,,,,,,,,,,,
,,Item,1005,1,100504,,,,,,,,,,,,,,,,
2,openning_pack_2,Money,2,370,,0,0,0,IAP,1,3,,,,10,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,86400,43200,OpenningPack
,,Money,3,100,,,,,,,,,,,,,,,,,
,,Item,6004,1,600401,,,,,,,,,,,,,,,,
,,Item,6002,1,600201,,,,,,,,,,,,,,,,
,,Item,1006,1,100604,,,,,,,,,,,,,,,,
,,Item,1003,1,100304,,,,,,,,,,,,,,,,
3,openning_pack_3,Money,2,370,,0,0,0,IAP,1,3,,,,10,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,com.deviloper.m1.food.merge.cooking.puzzle.openning_pack,86400,43200,OpenningPack
,,Money,3,100,,,,,,,,,,,,,,,,,
,,Item,6004,1,600401,,,,,,,,,,,,,,,,
,,Item,6002,1,600201,,,,,,,,,,,,,,,,
,,Item,1007,1,100704,,,,,,,,,,,,,,,,
,,Item,1005,1,100504,,,,,,,,,,,,,,,,
